calculated_at,topic_id,title,recommendation_track,action_label,recommended_stake_units,max_allowed_stake_units,stake_band,risk_rule,entry_condition,cancel_condition,rationale,affiliate_url
2026-06-10T11:49:58+00:00,4deaef64eb2f7eb7,Will Argentina win the 2026 FIFA World Cup?,conservative,稳健观察仓,0.5,1.0,0.5,Long-horizon market cap applies; do not exceed daily and related-exposure limits.,Enter only if price remains near current range and thesis is documented.,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=conservative; conservative=83.41; upside=67.01; risk=30.0; implied=0.086; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,73530ff797ef10ed,Will Brazil win the 2026 FIFA World Cup?,conservative,稳健观察仓,0.5,1.0,0.5,Long-horizon market cap applies; do not exceed daily and related-exposure limits.,Enter only if price remains near current range and thesis is documented.,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=conservative; conservative=83.36; upside=67.09; risk=30.0; implied=0.085; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,3084833b8ee0973a,Will Germany win the 2026 FIFA World Cup?,conservative,稳健观察仓,0.5,1.0,0.5,Long-horizon market cap applies; do not exceed daily and related-exposure limits.,Enter only if price remains near current range and thesis is documented.,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=conservative; conservative=82.21; upside=69.32; risk=30.0; implied=0.053; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,f7f17aa5a6ad73d0,Will Portugal win the 2026 FIFA World Cup?,conservative,稳健观察仓,0.5,1.0,0.5,Long-horizon market cap applies; do not exceed daily and related-exposure limits.,Enter only if price remains near current range and thesis is documented.,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=conservative; conservative=81.87; upside=65.92; risk=30.0; implied=0.102; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,36ff1f3bd28e0c72,Will England win the 2026 FIFA World Cup?,conservative,稳健观察仓,0.5,1.0,0.5,Long-horizon market cap applies; do not exceed daily and related-exposure limits.,Enter only if price remains near current range and thesis is documented.,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=conservative; conservative=81.71; upside=65.4; risk=30.0; implied=0.109; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,ea82571dbc573b7c,Will France win the 2026 FIFA World Cup?,conservative,稳健观察仓,0.5,1.0,0.5,Long-horizon market cap applies; do not exceed daily and related-exposure limits.,Enter only if price remains near current range and thesis is documented.,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=conservative; conservative=78.02; upside=61.75; risk=30.0; implied=0.161; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,01aafe09a97e5861,Will Spain win the 2026 FIFA World Cup?,conservative,稳健观察仓,0.5,1.0,0.5,Long-horizon market cap applies; do not exceed daily and related-exposure limits.,Enter only if price remains near current range and thesis is documented.,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=conservative; conservative=78.01; upside=61.6; risk=30.0; implied=0.163; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,4fd31c0945cf44e7,Will Netherlands win the 2026 FIFA World Cup?,upside,高盈亏比观察仓,0.25,0.5,0.25,Upside track is never a heavy stake by default.,"Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=73.69; upside=83.51; risk=30.0; implied=0.04; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,3e5a54e96e587821,Will Belgium win the 2026 FIFA World Cup?,upside,高盈亏比小仓,0.5,0.5,0.5,Upside track is never a heavy stake by default.,"Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=72.21; upside=84.8; risk=30.0; implied=0.022; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,aff42f492bb93e48,Will USA win the 2026 FIFA World Cup?,upside,高盈亏比小仓,0.5,0.5,0.5,Upside track is never a heavy stake by default.,"Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=71.81; upside=84.9; risk=30.0; implied=0.012; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
